Source,Target,Type,Id,Label,timeset,Weight
9023364,6769254,Directed,404,,,1
9023364,7278378,Directed,405,,,1
9023364,8660003,Directed,406,,,1
9023364,9173772,Directed,408,,,1
9023364,10020082,Directed,409,,,1
9023364,14441649,Directed,410,,,1
9023364,14870878,Directed,411,,,1
9023364,19642021,Directed,412,,,1
42044934,562917251,Directed,2113,,,1
562917251,31130945,Directed,2106,,,1
9155167,36395547,Directed,416,,,1
9155167,36441035,Directed,417,,,1
9155167,38661612,Directed,418,,,1
9155167,52418947,Directed,419,,,1
9155167,54447453,Directed,420,,,1
9155167,89278547,Directed,421,,,1
9155167,255520508,Directed,422,,,1
9155167,404106269,Directed,423,,,1
9155167,469499447,Directed,424,,,1
9173772,3363362,Directed,425,,,1
9173772,5325067,Directed,426,,,1
9173772,6769254,Directed,427,,,1
9173772,9023364,Directed,428,,,1
9173772,10020082,Directed,430,,,1
9173772,19642021,Directed,431,,,1
9173772,28900519,Directed,432,,,1
9372166,2699093,Directed,433,,,1
9372166,9673822,Directed,434,,,1
9372166,10360922,Directed,435,,,1
9372166,15804314,Directed,437,,,1
9372166,24082129,Directed,438,,,1
9372166,49896425,Directed,439,,,1
9372166,53937541,Directed,440,,,1
9372166,112447060,Directed,441,,,1
9433513,3864197,Directed,442,,,1
9433513,7066177,Directed,443,,,1
9433513,39207926,Directed,444,,,1
9433513,109410473,Directed,445,,,1
9667022,4422316,Directed,446,,,1
9667022,6308154,Directed,447,,,1
9667022,6769254,Directed,448,,,1
9667022,7372677,Directed,449,,,1
9667022,65225390,Directed,450,,,1
9667022,119352565,Directed,451,,,1
9673822,2699093,Directed,452,,,1
9673822,2833128,Directed,453,,,1
9673822,9372166,Directed,454,,,1
9673822,10360922,Directed,455,,,1
9673822,15804314,Directed,457,,,1
9673822,53937541,Directed,458,,,1
10020082,3363362,Directed,459,,,1
10020082,5325067,Directed,460,,,1
10020082,6407680,Directed,461,,,1
10020082,6769254,Directed,462,,,1
10020082,7815454,Directed,463,,,1
10020082,9023364,Directed,464,,,1
10020082,9173772,Directed,466,,,1
10020082,13882914,Directed,467,,,1
10020082,19642021,Directed,468,,,1
10020082,28900519,Directed,470,,,1
10040536,23686916,Directed,471,,,1
10040536,31592008,Directed,472,,,1
10040536,56764584,Directed,473,,,1
10040536,141747402,Directed,474,,,1
10040536,179696593,Directed,475,,,1
10040536,513457158,Directed,476,,,1
10360922,2699093,Directed,477,,,1
10360922,9372166,Directed,478,,,1
10360922,9673822,Directed,479,,,1
10360922,15804314,Directed,480,,,1
10360922,49896425,Directed,481,,,1
10360922,53937541,Directed,482,,,1
10360922,112447060,Directed,483,,,1
11044395,16547019,Directed,484,,,1
11044395,24033979,Directed,485,,,1
12789381,5599901,Directed,486,,,1
12789381,6516489,Directed,487,,,1
12789381,14583473,Directed,488,,,1
12789381,15803716,Directed,489,,,1
12789381,19045333,Directed,490,,,1
12789381,21547742,Directed,491,,,1
12789381,24054585,Directed,492,,,1
12789381,29424858,Directed,493,,,1
12789381,42044934,Directed,494,,,1
12789381,45240815,Directed,495,,,1
562917252,205312651,Directed,2137,,,1
12789381,52055451,Directed,497,,,1
12789381,57516267,Directed,498,,,1
12789381,72454202,Directed,499,,,1
